a|b|paa|pbb|pab|acore|bcore|sbm_pmat|na|N|taa|tbb
52|64|0.2950492491522687|0.6902050702405942|0.01474568060713709|(0.8453296683444756, 0.36180904522613067)|(0.36136600438041233, 0.16080402010050251)|(0.0008093727852586818, 9.317083871099389e-06, 0.0004018593949705041)|0.3167053364269142|29434|0.9756206951786001|0.989430800212958
52|65|0.9058130105421389|0.09005320516624142|0.004133784291619692|(0.11030299013714251, 0.05025125628140704)|(1.1093898937134214, 0.457286432160804)|(0.0008753025892783508, 8.587687064683363e-06, 0.0016096125652303181)|0.7928176795580111|11179|0.9977233859459931|0.9775630703166934
52|66|0.8209592111160915|0.17445091887046169|0.0045898700134468845|(0.2136665639533778, 0.09045226130653267)|(1.005469625396984, 0.4170854271356784)|(0.0008720779418160659, 6.346667682133496e-06, 0.0012564436317806635)|0.7079696394686907|12462|0.9972123614347628|0.9870156218299857
52|67|0.5370094444770341|0.4543790696310201|0.008611485891945797|(0.5564986945191813, 0.23618090452261306)|(0.6577003828302949, 0.2763819095477387)|(0.0008401439316404919, 1.018147240015062e-05, 0.0016243365705565563)|0.6114054733162179|14917|0.9920457747242031|0.9906128504194802
52|68|0.2602728008850062|0.7356043930978639|0.004122806017129888|(0.9009277126117798, 0.37185929648241206)|(0.31877409633744846, 0.135678391959799)|(0.0008414802589612495, 2.849794408026989e-06, 0.0004349005375390872)|0.3017875920084122|30524|0.9921420730580705|0.9972055055020234
52|71|0.11199254873915918|0.8819791059961515|0.00602834526468933|(1.080199430853062, 0.4472361809045226)|(0.13718394472471687, 0.06030150753768844)|(0.000785682039197553, 4.562122532250654e-06, 0.00028803633039369936)|0.17964562000449394|53418|0.9737913350072119|0.9965941293508852
52|72|0.27117970025226296|0.7220359103724588|0.006784389375278231|(0.8843108381795017, 0.36683417085427134)|(0.3321343513802586, 0.1407035175879397)|(0.0008323525205950634, 5.09008928087851e-06, 0.0005297361990372776)|0.33190997242238235|28275|0.9876455137974642|0.9953238719812791
52|73|0.11860189080004997|0.8766685061013703|0.004729603098579818|(1.0736959341096854, 0.44221105527638194)|(0.1452686216047695, 0.06532663316582915)|(0.0007906918953213058, 4.203140768139266e-06, 0.0004154602120658579)|0.2124755595208717|44662|0.9804508042390662|0.997309770257045
52|74|0.12710474052327086|0.8717504477578681|0.001144811718860982|(1.067671915801262, 0.4371859296482412)|(0.15567342423426506, 0.06532663316582915)|(0.0008490854765894154, 1.3970960634279165e-06, 0.0007775066420203162)|0.27771437078205635|34624|0.995516771202618|0.9993438142116111
52|75|0.12129260263619404|0.8773155848406867|0.0013918125231192568|(1.0744921111118582, 0.44221105527638194)|(0.14857279288045774, 0.06030150753768844)|(0.000844655418654094, 1.263153198557737e-06, 0.00041512018705174497)|0.21433495461682817|44304|0.9942953129942517|0.9992074064307679
52|76|0.6311036973724117|0.3670627808872591|0.0018335217403292069|(0.44955896779250293, 0.18592964824120603)|(0.7729418497703997, 0.3165829145728643)|(0.0008718874860424486, 1.6496939209994576e-06, 0.0008605435050053956)|0.5643339719673288|16031|0.9985494759572914|0.9975086634822515
52|77|0.6736561750467194|0.3235627363557439|0.0027810885975367503|(0.3962858507931282, 0.1658291457286432)|(0.8250622873141429, 0.3417085427135678)|(0.0008705657831383953, 3.799636521543336e-06, 0.0018699997661330958)|0.6695979899497487|13220|0.9979400769473902|0.9957207870129281
